,minimum,maximum
23DHMPO,-1000.0000000000001,1000.0000000000001
26DAPLLAT,-20.244297684292146,-20.24429768429211
2AHBUTI,-1000.0,1000.0
2DMMQ8abc,0.0,8.471830929819891e-14
3HAD100,0.0,0.0
3HAD10M11,0.0,0.0
3HAD10M12,0.0,0.0
3HAD11M12,0.0,0.0
3HAD120,0.0,0.0
3HAD12M13,0.0,0.0
3HAD12M14,0.0,0.0
3HAD13M14,0.0,0.0
3HAD140,0.0,0.0
3HAD14M15,0.0,0.0
3HAD14M16,0.0,0.0
3HAD15M16,0.0,0.0
3HAD160,0.0,0.0
3HAD180,0.0,0.0
3HAD40,0.0,0.0
3HAD4M5,0.0,0.0
3HAD4M6,0.0,0.0
3HAD5M6,0.0,0.0
3HAD60,0.0,0.0
3HAD6M7,0.0,0.0
3HAD6M8,0.0,0.0
3HAD7M8,0.0,0.0
3HAD80,0.0,0.0
3HAD8M10,0.0,0.0
3HAD8M9,0.0,0.0
3HAD9M10,0.0,0.0
3HBCOAHL,0.0,0.0
3MOBS,-9.213244853503388,-1.6330994643518998e-15
3OAR100,0.0,-4.6266926660258715e-17
3OAR10M11,0.0,-4.626692666025872e-17
3OAR10M12,0.0,-4.626692666025872e-17
3OAR11M12,0.0,-4.626692666025872e-17
3OAR120,0.0,-4.626692666025872e-17
3OAR12M13,0.0,-4.626692666025872e-17
3OAR12M14,0.0,-4.626692666025872e-17
3OAR13M14,0.0,-4.626692666025872e-17
3OAR140,0.0,-4.626692666025872e-17
3OAR14M15,0.0,-4.626692666025872e-17
3OAR14M16,0.0,-4.626692666025872e-17
3OAR15M16,0.0,-4.626692666025872e-17
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,0.0,0.0
3OAR5M6,0.0,0.0
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,0.0,0.0
3OAR7M8,0.0,0.0
3OAR80,0.0,0.0
3OAR8M10,0.0,0.0
3OAR8M9,0.0,0.0
3OAR9M10,0.0,0.0
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,0.0,0.0
3OAS11M12,0.0,0.0
3OAS120,0.0,0.0
