,minimum,maximum
1H2NPTH,0.0,0.0
1P4H2CBXLAH,0.0,0.0
23DHMPO,-1000.0,1000.0000000000002
25DOPOX,0.0,0.0
25K5O2AI,0.0,0.0
2AHBUTI,-1000.0,1000.0
2HYOXPLACt2rpp,1.79082541599476e-11,0.0
2HYOXPLACtex,1.263409995773672e-11,0.0
2MBCOATA,7.133746754868955,7.133746754868947
2MECOAOX,-1000.0,-3.8769465122865983e-11
2OMPHH,0.0,-3.7496538325838234e-13
2S6HCC,0.0,-2.3635501379439217e-13
34DCCBR,0.0,0.0
34HPPOR,0.0,0.0
3CARLPDH,1.1125787444521824e-12,0.0
3HACPR1,0.0,-1.306733758589614e-12
3HACPR2,0.0,-5.242263720564694e-13
3HAD100,0.0,-9.502409010347033e-13
3HAD10M12,7.133746754868955,7.133746754868949
3HAD11M12,7.133746754868955,7.133746754868917
3HAD120,0.0,-3.3530348214370264e-12
3HAD12M14,7.133746754868955,7.133746754868919
3HAD13M14,7.133746754868955,7.133746754868939
3HAD140,0.0,979.0423577885504
3HAD14M16,7.133746754868955,7.133746754868949
3HAD15M16,7.133746754868955,7.133746754868854
3HAD180,0.0,-5.181962905857297e-11
3HAD40,0.0,-4.1959224794426465e-12
3HAD4M6,7.133746754868955,7.133746754868941
3HAD5M6,7.133746754868955,7.133746754868893
3HAD60,0.0,-8.077765706189459e-12
3HAD6M8,7.133746754868955,7.133746754868941
3HAD7M8,7.133746754868955,7.133746754868893
3HAD80,0.0,-8.077765706189457e-12
3HAD8M10,7.133746754868955,7.133746754868941
3HAD9M10,7.133746754868955,7.133746754868893
3HBCOAE,0.0,0.0
3HBCOAHL,0.0,0.0
3HPCOAHL,0.0,0.0
3MOBS,1.0023208233719669e-11,0.0
3OAACPR1,0.0,1.267148201951235e-13
3OAACPR2,0.0,8.036844559959107e-14
3OAR100,0.0,-5.105757569006349e-12
3OAR10M11,0.0,0.0
3OAR10M12,7.133746754868955,7.133746754868927
3OAR11M12,7.133746754868955,7.133746754868992
3OAR120,0.0,3.5054454951386397e-12
3OAR12M13,0.0,0.0
3OAR12M14,7.133746754868955,7.133746754868927
3OAR13M14,7.133746754868955,7.133746754868993
3OAR140,16.766113769156,995.8084715577146
3OAR14M15,0.0,0.0
3OAR14M16,7.133746754868955,7.133746754868927
3OAR15M16,7.133746754868955,7.133746754868993
3OAR160,0.0,0.0
3OAR180,0.0,1.752722747569327e-11
3OAR40,0.0,9.560705998140614e-13
3OAR4M5,0.0,0.0
3OAR4M6,7.133746754868955,7.133746754868927
3OAR5M6,7.133746754868955,7.133746754868992
3OAR60,0.0,3.5054454951386397e-12
3OAR6M7,0.0,0.0
3OAR6M8,7.133746754868955,7.133746754868927
3OAR7M8,7.133746754868955,7.133746754868992
3OAR80,0.0,3.5054454951386397e-12
3OAR8M10,7.133746754868955,7.133746754868927
3OAR8M9,0.0,0.0
3OAR9M10,7.133746754868955,7.133746754868992
3OAS100,0.0,3.5054454951386406e-12
3OAS10M11,0.0,0.0
3OAS10M12,7.133746754868955,7.133746754868936
3OAS11M12,7.133746754868955,7.1337467548689135
3OAS120,0.0,-5.181962905857169e-12
3OAS12M13,0.0,0.0
3OAS12M14,7.133746754868955,7.133746754868936
3OAS13M14,7.133746754868955,7.133746754868914
3OAS140,16.766113769156,995.8084715577057
3OAS160,0.0,0.0
3OAS180,0.0,-1.1072338823013324e-11
3OAS2M3,0.0,0.0
3OAS3M4,7.133746754868955,7.133746754868964
3OAS4M3O6,7.133746754868955,7.133746754868914
3OAS4M5,0.0,0.0
3OAS4M6,7.133746754868955,7.133746754868914
3OAS5M6,7.133746754868955,7.1337467548689135
3OAS60,0.0,-5.181962905857169e-12
3OAS6M7,0.0,0.0
3OAS6M8,7.133746754868955,7.133746754868936
3OAS7M8,7.133746754868955,7.1337467548689135
3OAS80,0.0,-5.181962905857169e-12
3OAS8M10,7.133746754868955,7.133746754868936
3OAS8M9,0.0,0.0
3OAS9M10,7.133746754868955,7.1337467548689135
3OXCOAT,-5.373994243277804e-14,763.9525738032391
4ABUTtex,0.0,0.0
4HPHACtex,-989.6343185902934,-225.68174478704418
4HPROI,0.0,0.0
4HPROOX,0.0,0.0
4HTHDR,25.998765188249223,25.998765188248363
4HTHDS,25.998765188249223,25.9987651882484
4HTHRS,0.0,0.0
4NTPPH2,0.0,0.0
5AIZCDC,0.0,-4.111281408896165e-12
5CM2HMUDI,0.0,0.0
5DOAN,0.0,-9.876549563025097e-14
5GLUP5T1,0.0,0.0
5GLUP5T2,0.0,0.0
5MTHCYST,1.927969671067101e-12,0.0
7A_CZPtex,-999.9999999999999,999.9999999999999
A5PISO,10.477606801064988,10.477606801064994
AACGLYDH,0.0,-3.8102668425419976e-11
AACOAT,0.0,-7.826430923588698e-12
AACTOOR,0.0,0.0
ABTA,0.0,0.0
ABUTD,0.0,999.9999999999997
ABUTR,-1000.0,-3.410605131648481e-13
ABUTt2rpp,0.0,0.0
ACACCTr,-984.462050710469,1000.0
ACACT1r,15.537949289549294,1000.0
