,minimum,maximum
15DAPt,0.0,-2.8301199621264254e-11
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
26DAPLLATi,0.14546829712329315,0.14546829712362092
2CLDHOFAL,0.0,0.0
2DHPL,0.0,0.0
2DOHMC5DPT,0.0,0.0
2H3OGL,0.0,0.0
2HBO,0.0,0.0
2HEDCCL,0.0,0.0
2HMCOXT,0.0,0.0
2IPDPIPT,0.0,0.0
2MBCOATA,6.696776947729625,6.696776947729639
2MEBCOADH,-6.696776947729638,-6.6967769477296235
2OBUTt2r,-0.639485431964063,-0.6394854319637951
2RCDHOFAL,0.0,0.0
2S6HCC,-999.9999999999998,4.725455868140407e-13
34DHOXPEGOX,0.0,0.0
3CALACL,0.0,0.0
3HAD100,6.696776947729626,6.696776947735089
3HAD10M12,6.696776947729626,6.696776947734257
3HAD11M12,6.696776947729618,6.696776947734877
3HAD120,6.696776947729626,6.696776947734975
3HAD12M14,6.696776947729626,6.696776947735349
3HAD13M14,6.696776947729618,6.696776947733308
3HAD140,6.696776947729626,6.696776947734751
3HAD14M16,6.696776947729626,6.69677694772964
3HAD15M16,6.696776947729626,6.696776947729628
3HAD160,6.696776947729626,6.696776947729626
3HAD180,6.696776947729626,6.696776947729622
3HAD40,6.696776947729626,6.696776947729616
3HAD4M6,6.696776947729626,6.696776947729615
3HAD5M6,6.696776947729612,6.696776947729625
3HAD60,6.696776947729626,6.696776947729622
3HAD6M8,6.696776947729626,6.696776947729616
3HAD7M8,6.696776947729615,6.696776947729621
3HAD80,6.696776947729626,6.696776947729619
3HAD8M10,6.696776947729626,6.696776947729625
3HAD9M10,6.696776947729618,6.696776947729622
3HLYTCL,0.0,-2.4672840695461197e-11
3HPCOAHL,0.0,0.0
3HXKYNDCL,0.0,0.0
3MEBCOADH,-6.696776947729626,-6.696776947729435
3MOBDC2,0.0,0.0
3MOPDC2,13.393553895459181,13.393553895459114
3OAR100,6.696776947729626,6.69677694772962
3OAR10M11,0.0,0.0
3OAR10M12,6.696776947729626,6.696776947729625
3OAR11M12,6.69677694772952,6.696776947729644
3OAR120,6.696776947729626,6.69677694772962
3OAR12M13,0.0,0.0
3OAR12M14,6.696776947729626,6.696776947729625
3OAR13M14,6.696776947729521,6.696776947729644
3OAR140,6.696776947729626,6.696776947729622
3OAR14M15,0.0,0.0
3OAR14M16,6.696776947729626,6.696776947729625
3OAR15M16,6.696776947729523,6.696776947729644
3OAR160,6.696776947729626,6.6967769477296235
3OAR180,6.696776947729626,6.6967769477296235
3OAR40,6.696776947729626,6.69677694772962
3OAR4M5,0.0,0.0
3OAR4M6,6.696776947729626,6.696776947729622
3OAR5M6,6.696776947729512,6.69677694772964
3OAR60,6.696776947729626,6.69677694772962
3OAR6M7,0.0,0.0
3OAR6M8,6.696776947729626,6.696776947729622
3OAR7M8,6.696776947729515,6.696776947729642
3OAR80,6.696776947729626,6.69677694772962
3OAR8M10,6.696776947729626,6.6967769477296235
3OAR8M9,0.0,0.0
3OAR9M10,6.696776947729517,6.696776947729644
3OAS100,6.696776947729626,6.696776947729621
3OAS10M11,0.0,0.0
3OAS10M12,6.696776947729626,6.696776947729625
3OAS11M12,6.6967769477295205,6.696776947729702
3OAS120,6.696776947729626,6.696776947729621
3OAS12M13,0.0,0.0
3OAS12M14,6.696776947729626,6.696776947729625
3OAS13M14,6.696776947729521,6.696776947729702
3OAS140,6.696776947729626,6.696776947729622
3OAS160,6.696776947729626,6.6967769477296235
3OAS180,6.696776947729626,6.6967769477296235
3OAS2M3,0.0,0.0
3OAS3M4,6.696776947729619,6.6967769477297
3OAS4M3O6,6.696776947729626,6.696776947729621
3OAS4M5,0.0,0.0
3OAS4M6,6.696776947729626,6.696776947729617
3OAS5M6,6.696776947729619,6.696776947729585
3OAS60,6.696776947729626,6.696776947729619
3OAS6M7,0.0,0.0
3OAS6M8,6.696776947729626,6.6967769477296235
3OAS7M8,6.696776947729619,6.6967769477296235
3OAS80,6.696776947729626,6.6967769477296235
3OAS8M10,6.696776947729626,6.696776947729625
3OAS8M9,0.0,0.0
3OAS9M10,6.696776947729619,6.696776947729552
4ABZt2,1.9184562958880618,1.9184562958902578
4GBTAH,0.0,0.0
4HTHDR,0.14546829712329315,0.1454682971232935
4HTHDS,0.14546829712329315,0.145468297123293
4HTHRS,0.0,0.0
4MOPDC2,0.0,0.0
4NTPPH2,0.0,0.0
